"danishPhrase","englishTranslation","situationalContext","languageLevel"
"Kan du hjælpe mig med denne opgave?","Can you help me with this task?","Work Environment","A2"
"Kan du hjælpe mig?","Can you help me?","Basic Needs","A1"
"Kan du sende mig det?","Can you send it to me?","Basic Communication","A1"
"Kan du sende mig dokumenterne inden fredag?","Can you send me the documents before Friday?","Work Environment","A2"
"Kan du sende mig rapporten, når du er færdig?","Can you send me the report when you are finished?","Work Environment","A2"
"Kan du sende mig referatet fra mødet?","Can you send me the minutes from the meeting?","Professional Communication","B1"
"Kan du skrive det ned?","Can you write it down?","Basic Communication","A1"
"Kan du tage et billede af mig?","Can you take a picture of me?","Basic Communication","A1"
"Kan du tale engelsk?","Can you speak English?","Basic Communication","A1"
"Kan du tale langsommere?","Can you speak more slowly?","Basic Communication","A1"
"Kan du vente?","Can you wait?","Basic Communication","A1"
"Kan du vise mig på kortet?","Can you show me on the map?","Simple Directions","A1"
"Kan du vise mig vej til banegården?","Can you show me the way to the train station?","Simple Directions","A1"
"Kan du vise mig vejen?","Can you show me the way?","Simple Directions","A1"
"Kan du vise mig, hvordan jeg bruger denne app?","Can you show me how to use this app?","Technology Basics","A2"
"Kan jeg betale med MobilePay?","Can I pay with MobilePay?","Technology Basics","A1"
"Kan jeg bytte denne trøje?","Can I exchange this sweater?","Basic Shopping","A1"
"Kan jeg få en kande vand?","Can I get a pitcher of water?","Restaurant/Café","A1"
"Kan jeg få en kvittering?","Can I get a receipt?","Basic Shopping","A1"
"Kan jeg få en pose?","Can I have a bag?","Basic Shopping","A1"
"Kan jeg få en serviet?","Can I get a napkin?","Restaurant/Café","A1"
"Kan jeg få et glas rødvin?","Can I have a glass of red wine?","Restaurant/Café","A1"
"Kan jeg få et rejsekort?","Can I get a travel card?","Transportation","A1"
"Kan jeg få flere håndklæder?","Can I get more towels?","Accommodation","A1"
"Kan jeg få menuen?","Can I have the menu?","Restaurant/Café","A1"
"Kan jeg få noget at drikke?","Can I get something to drink?","Restaurant/Café","A1"
"Kan jeg få salt?","Can I have salt?","Restaurant/Café","A1"
"Kan jeg købe billetten i bussen?","Can I buy the ticket on the bus?","Transportation","A1"
"Kan jeg låne din telefon?","Can I borrow your phone?","Phone Communication","A1"
"Kan jeg oplade min telefon her?","Can I charge my phone here?","Technology Basics","A1"
"Kan jeg prøve den?","Can I try it on?","Basic Shopping","A1"
"Kan jeg prøve disse sko?","Can I try these shoes?","Shopping Specifics","A2"
"Kan jeg ringe til dig senere?","Can I call you later?","Phone Communication","A1"
"Kan vi flytte mødet til i morgen eftermiddag?","Can we move the meeting to tomorrow afternoon?","Work Environment","A2"
"Kan vi rykke mødet til i morgen?","Can we move the meeting to tomorrow?","Professional Communication","B1"
"Kan vi være venner på Instagram?","Can we be friends on Instagram?","Basic Communication","A1"
"Kender du den nye restaurant, der lige er åbnet?","Do you know the new restaurant that just opened?","Local Community","A2"
"Kender du nogle gode museer i København?","Do you know any good museums in Copenhagen?","Cultural Activities","A2"
"Klokken er halv otte","It's half past seven","Numbers/Time","A1"
"Klokken er ti","It's ten o'clock","Numbers/Time","A1"
"Kom her","Come here","Basic Communication","A1"
"Kom ind","Come in","Basic Communication","A1"
"Kom indenfor","Come inside","Courtesy Phrases","A1"
"Kongehuset spiller stadig en vigtig symbolsk rolle i det moderne danske samfund","The royal family still plays an important symbolic role in modern Danish society","Danish Cultural References","B2"
"Kontant eller med kort?","Cash or card?","Restaurant/Café","A1"
"Kvantemekanikken udfordrer vores intuitive forståelse af virkeligheden på fundamentalt niveau","Quantum mechanics challenges our intuitive understanding of reality at a fundamental level","Specialized Terminology","B2"
"Kvart over fire","Quarter past four","Numbers/Time","A1"
"Kører denne bus til centrum?","Does this bus go to the center?","Transportation","A1"
"Lad os mødes ved springvandet klokken to","Let's meet by the fountain at two o'clock","Making Plans","A2"
"Lad os planlægge en udflugt til stranden","Let's plan a trip to the beach","Making Plans","A2"
"Lejen er ret høj i dette område","The rent is quite high in this area","Home & Housing","A2"
"Lejligheden har en rummelig stue med udsigt over havnen","The apartment has a spacious living room with view over the harbor","Detailed Descriptions","B1"
"Lige frem og til højre","Straight ahead and to the right","Simple Directions","A1"
"Lykke er ikke at have alt, hvad man ønsker sig","Happiness is not having everything you want","Abstract Discussions","B1"
"Maden smager godt","The food tastes good","Restaurant/Café","A1"
"Maj, juni, juli, august","May, June, July, August","Numbers/Time","A1"
"Man kan ikke både blæse og have mel i munden","You can't both blow and have flour in your mouth (idiom: you can't have it both ways)","Idiomatic Expressions","B2"
"Mandag, tirsdag, onsdag","Monday, Tuesday, Wednesday","Numbers/Time","A1"
"Mange tak","Thank you very much","Courtesy Phrases","A1"
"Med glæde","With pleasure","Basic Communication","A1"
"Med sukker","With sugar","Restaurant/Café","A1"
"Menuen, tak","The menu, please","Restaurant/Café","A1"
"Mere brød, tak","More bread, please","Restaurant/Café","A1"
"Min adresse er...","My address is...","Basic Communication","A1"
"Min arm gør ondt","My arm hurts","Basic Health","A1"
"Min bedstemor bor i Aarhus","My grandmother lives in Aarhus","Family","A1"
"Min bror bor i USA","My brother lives in the USA","Family","A1"
"Min bror flytter til en ny lejlighed næste måned","My brother is moving to a new apartment next month","Family","A2"
"Min bror har fået en ny kæreste","My brother has a new girlfriend","Family","A2"
"Min chef er på ferie denne uge","My boss is on vacation this week","Work Environment","A2"
"Min chef er på ferie til på mandag","My boss is on vacation until Monday","Work Environment","A2"
"Min computer er gået i stykker","My computer is broken","Technology Basics","A2"
"Min computer virker ikke","My computer doesn't work","Technology Basics","A1"
"Min cykel er punkteret","My bicycle has a flat tire","Simple Problem-Solving","A2"
"Min datter går i børnehave","My daughter goes to kindergarten","Education","A2"
"Min datter går i skole","My daughter goes to school","Family","A1"
"Min datter har haft feber siden i går","My daughter has had a fever since yesterday","Health & Wellness","A2"
"Min email er...","My email is...","Basic Communication","A1"
"Min far er læge","My father is a doctor","Family","A1"
"Min far er pensionist","My father is retired","Family","A1"
"Min fætter bor i Odense","My cousin lives in Odense","Family","A1"
"Min fætter skal giftes til sommer","My cousin is getting married this summer","Family","A2"
"Min fødselsdag er den tiende juni","My birthday is the tenth of June","Small Talk","A1"
"Min fødselsdag er den tiende marts","My birthday is the tenth of March","Introductions","A1"
"Min hobby er at fotografere naturen","My hobby is photographing nature","Hobbies & Interests","A2"
"Min kollega har været syg i flere dage","My colleague has been sick for several days","Work Environment","A2"
"Min kontrakt udløber i slutningen af året","My contract expires at the end of the year","Work Environment","A2"
"Min kost indeholder meget frugt og grønt","My diet contains a lot of fruit and vegetables","Health & Wellness","A2"
"Min kæreste og jeg har været sammen i to år","My partner and I have been together for two years","Social Life","A2"
"Min lejlighed har to værelser og en lille altan","My apartment has two rooms and a small balcony","Home & Housing","A2"
"Min lejlighed ligger på anden sal","My apartment is on the second floor","Home & Housing","A2"
"Min læge har anbefalet, at jeg dyrker mere motion","My doctor has recommended that I exercise more","Health & Wellness","A2"
"Min mor bor i Odense","My mother lives in Odense","Family","A1"
"Min mor elsker at lave mad","My mother loves to cook","Family","A1"
"Min mor er lærer","My mother is a teacher","Family","A1"
"Min nabo inviterede os til grillfest","My neighbor invited us to a barbecue","Social Life","A2"
"Min nevø er fem år gammel","My nephew is five years old","Family","A1"
"Min niece er begyndt i skole","My niece has started school","Family","A2"
"Min niece hedder Sofia","My niece is named Sofia","Family","A1"
"Min nøgle virker ikke","My key doesn't work","Accommodation","A1"
"Min onkel besøger os i weekenden","My uncle is visiting us this weekend","Family","A1"
"Min onkel bor i Sverige med sin familie","My uncle lives in Sweden with his family","Family","A2"
"Min opholdstilladelse udløber næste måned","My residence permit expires next month","Bureaucracy & Administration","A2"
"Min skærm fryser hele tiden","My screen keeps freezing","Technology Basics","A2"
"Min svigermor kommer på besøg","My mother-in-law is coming to visit","Family","A1"
"Min søn er syg","My son is sick","Basic Health","A1"
"Min søn er ti år gammel","My son is ten years old","Family","A1"
"Min søn går i børnehave","My son goes to kindergarten","Family","A1"
"Min søn skal starte i skole næste år","My son will start school next year","Education","A2"
"Min søster er læge","My sister is a doctor","Family","A1"
"Min søster venter sit første barn","My sister is expecting her first child","Family","A2"
"Min telefon er løbet tør for strøm","My phone has run out of power","Basic Needs","A1"
"Min telefon er væk","My phone is gone","Emergency","A1"
"Min telefon forbinder ikke til Wi-Fi netværket","My phone is not connecting to the Wi-Fi network","Technology Basics","A2"
"Min telefon virker ikke","My phone isn't working","Technology Basics","A1"
"Min vaskemaskine er gået i stykker","My washing machine is broken","Home & Housing","A2"
"Min ven har inviteret mig til en koncert på lørdag","My friend has invited me to a concert on Saturday","Hobbies & Interests","A2"
"Min ven har lige fået et nyt job","My friend has just gotten a new job","Social Life","A2"
"Min yndlingsfarve er blå","My favorite color is blue","Small Talk","A1"
"Min yndlingssport er fodbold","My favorite sport is football","Hobbies & Interests","A2"
"Mine forældre kommer på besøg i weekenden","My parents are coming to visit this weekend","Family","A2"
"Mit batteri er dødt","My battery is dead","Technology Basics","A1"
"Mit internet er langsomt","My internet is slow","Technology Basics","A1"
"Mit internet virker ikke","My internet is not working","Technology Basics","A2"
"Mit kreditkort virker ikke","My credit card is not working","Simple Problem-Solving","A2"
"Mit nummer er...","My number is...","Phone Communication","A1"
"Mit password virker ikke på min email","My password doesn't work on my email","Technology Basics","A2"
"Må jeg bestille nu?","May I order now?","Restaurant/Café","A1"
"Må jeg få lov til at hjælpe?","May I be allowed to help?","Courtesy Phrases","A1"
"Må jeg få mere sauce?","May I have more sauce?","Restaurant/Café","A1"
"Må jeg få noget papir?","May I have some paper?","Basic Needs","A1"
"Må jeg invitere dig til middag?","May I invite you to dinner?","Celebrations","A1"
"Må jeg komme forbi?","May I come through?","Courtesy Phrases","A1"
"Må jeg låne din oplader?","May I borrow your charger?","Basic Needs","A1"
"Må jeg låne en kuglepen?","May I borrow a pen?","Basic Needs","A1"
"Må jeg låne en oplader?","May I borrow a charger?","Basic Needs","A1"
"Må jeg se dessertkortet?","May I see the dessert menu?","Restaurant/Café","A1"
"Må jeg se din billet?","May I see your ticket?","Transportation","A1"
"Må jeg se menukortet igen?","May I see the menu again?","Restaurant/Café","A1"
"Må jeg tage et billede?","May I take a picture?","Basic Communication","A1"
"Må jeg tilbyde dig noget at drikke?","May I offer you something to drink?","Courtesy Phrases","A1"
"Må man tage billeder?","Is it allowed to take pictures?","Cultural Activities","A1"
"Måske","Maybe","Basic Communication","A1"
"Mødet starter om en time","The meeting starts in one hour","Numbers/Time","A1"
"Nej tak","No thank you","Basic Communication","A1"
"Nyd din dag","Enjoy your day","Greetings","A1"
"Når jeg bliver færdig med mit studie, vil jeg arbejde i udlandet","When I finish my studies, I will work abroad","Future Plans & Aspirations","B1"
"Om aftenen","In the evening","Numbers/Time","A1"
"Om eftermiddagen","In the afternoon","Numbers/Time","A1"
"Om morgenen","In the morning","Numbers/Time","A1"
"Om tre uger","In three weeks","Numbers/Time","A1"
"Overfor supermarkedet","Across from the supermarket","Simple Directions","A1"
"Parkeringen koster 20 kroner i timen","Parking costs 20 kroner per hour","Transportation","A2"
"Pas på dig selv","Take care of yourself","Courtesy Phrases","A1"
"Pas på, det er glat","Be careful, it's slippery","Weather","A1"
"Personligt foretrækker jeg kaffe frem for te","Personally, I prefer coffee over tea","Personal Opinions","A2"
"På den ene side forstår jeg dit synspunkt, men på den anden side...","On one hand I understand your viewpoint, but on the other hand...","Debates & Opinions","B1"
"På gensyn","See you again","Greetings","A1"
"På hjørnet","On the corner","Simple Directions","A1"
"På lørdag","On Saturday","Numbers/Time","A1"
"Regningen, tak","The bill, please","Restaurant/Café","A1"
"Restauranten lukker klokken elleve","The restaurant closes at eleven o'clock","Numbers/Time","A1"
"Ring efter en ambulance!","Call an ambulance!","Emergency","A1"
"Ring til mig, når du kommer frem","Call me when you arrive","Courtesy Phrases","A1"
"Ring til politiet","Call the police","Emergency","A1"
"Seks, syv, otte, ni, ti","Six, seven, eight, nine, ten","Numbers/Time","A1"
"Seksten, sytten, atten, nitten, tyve","Sixteen, seventeen, eighteen, nineteen, twenty","Numbers/Time","A1"
"Selv tak","You're welcome (thank you too)","Courtesy Phrases","A1"
"Selvfølgelig","Of course","Basic Communication","A1"
"Selvom argumentet virker overbevisende ved første øjekast, er der flere problematiske antagelser","Although the argument seems convincing at first glance, there are several problematic assumptions","Sophisticated Opinions","B2"
"Send mig en besked","Send me a message","Basic Communication","A1"
"Sengen er for hård","The bed is too hard","Accommodation","A1"
"September, oktober, november, december","September, October, November, December","Numbers/Time","A1"
"Set i et bredere perspektiv repræsenterer denne kulturelle tendens en reaktion mod globaliseringen","Viewed in a broader perspective, this cultural tendency represents a reaction against globalization","Critical Analysis","B2"
"Set i et historisk perspektiv repræsenterer denne udvikling et paradigmeskift","Viewed in a historical perspective, this development represents a paradigm shift","Critical Analysis","B2"
"Sid ned","Sit down","Basic Communication","A1"
"Sidste sommer rejste vi gennem Europa med tog","Last summer we traveled through Europe by train","Past Experiences","A2"
"Skal jeg tage en paraply med?","Should I bring an umbrella?","Weather","A1"
"Skal vi mødes foran biografen klokken syv?","Shall we meet in front of the cinema at seven?","Making Plans","A2"
"Skal vi mødes på caféen klokken fire i morgen?","Shall we meet at the café at four tomorrow?","Making Plans","A2"
"Skal vi tage afsted tidligt om morgenen?","Should we leave early in the morning?","Making Plans","A2"
"Skål!","Cheers!","Restaurant/Café","A1"
"Sociale mediers indflydelse på den offentlige debat er blevet et centralt forskningsområde","The influence of social media on public debate has become a central research area","Media & Digital Communication","B2"
"Softwareopdateringen løser sikkerhedsproblemet i det tidligere system","The software update solves the security issue in the previous system","Technical Discussions","B1"
"Solen skinner","The sun is shining","Weather","A1"
"Sov godt","Sleep well","Courtesy Phrases","A1"
"Spis noget mad","Eat some food","Basic Communication","A1"
"Spørgsmålet om individets frihed versus samfundets sikkerhed er blevet særligt relevant i den digitale tidsalder","The question of individual freedom versus societal security has become particularly relevant in the digital age","Philosophical Concepts","B2"
"Spørgsmålet om, hvad der definerer et meningsfuldt liv, har optaget filosoffer i århundreder","The question of what defines a meaningful life has occupied philosophers for centuries","Philosophical Concepts","B2"
"Stop her","Stop here","Simple Directions","A1"
"Stop!","Stop!","Emergency","A1"
"Stopper bussen ved stationen?","Does the bus stop at the station?","Transportation","A1"
"Sætter du vejret?","What's the weather forecast?","Weather","A1"
"Tag en paraply med, det begynder snart at regne","Take an umbrella, it will start raining soon","Weather","A2"
"Tag plads","Take a seat","Basic Communication","A1"
"Tag to tabletter tre gange dagligt","Take two tablets three times daily","Basic Health","A1"
"Tager I kreditkort?","Do you accept credit cards?","Basic Shopping","A1"
"Tak for alt","Thanks for everything","Courtesy Phrases","A1"
"Tak for gaven","Thanks for the gift","Courtesy Phrases","A1"
"Tak for hjælpen","Thanks for the help","Courtesy Phrases","A1"
"Tak for i dag","Thanks for today","Courtesy Phrases","A1"
"Tak for invitationen","Thanks for the invitation","Courtesy Phrases","A1"
"Tak for maden","Thanks for the food","Courtesy Phrases","A1"
"Tak for middagen","Thanks for dinner","Courtesy Phrases","A1"
"Taler du engelsk?","Do you speak English?","Basic Communication","A1"
"Taxi, tak","Taxi, please","Transportation","A1"
"Temperaturen falder til under frysepunktet i nat","The temperature is dropping below freezing tonight","Weather","A2"
"Til højre ved lyskrydset","To the right at the traffic light","Simple Directions","A1"
"Til næste år","Next year","Numbers/Time","A1"
"Tillykke med bryllupet","Congratulations on your wedding","Celebrations","A1"
"Tillykke med dagen","Congratulations on your day","Celebrations","A1"
"Tillykke med eksamen","Congratulations on your exam","Celebrations","A1"
"Tillykke med fødselsdagen!","Happy birthday!","Celebrations","A1"
"Tillykke med jubilæet","Congratulations on the anniversary","Celebrations","A1"
"Toget afgår klokken ni","The train departs at nine o'clock","Numbers/Time","A1"
"Toget til København afgår fra spor 5","The train to Copenhagen departs from platform 5","Transportation","A2"
"Torsdag, fredag, lørdag, søndag","Thursday, Friday, Saturday, Sunday","Numbers/Time","A1"
"Tredive, fyrre, halvtreds","Thirty, forty, fifty","Numbers/Time","A1"
"Tres, halvfjerds, firs","Sixty, seventy, eighty","Numbers/Time","A1"
"Tyve, tredive, fyrre","Twenty, thirty, forty","Numbers/Time","A1"
"Uden mælk","Without milk","Restaurant/Café","A1"
"Udstillingen på museet var virkelig interessant","The exhibition at the museum was really interesting","Cultural Activities","A2"
"Udstillingen åbner klokken ti om morgenen","The exhibition opens at ten in the morning","Cultural Activities","A2"
"Undskyld forsinkelsen","Sorry for the delay","Courtesy Phrases","A1"
"Undskyld jeg kommer for sent","Sorry I'm late","Courtesy Phrases","A1"
"Undskyld mig","Excuse me","Courtesy Phrases","A1"
"Undskyld, er dette sæde ledigt?","Excuse me, is this seat free?","Transportation","A1"
"Undskyld, hvor er toilettet?","Excuse me, where is the toilet?","Basic Needs","A1"
"Undskyld, jeg forstod ikke","Sorry, I didn't understand","Basic Communication","A1"
"Undskyld, jeg kommer for sent. Der var kø på motorvejen","I'm sorry I'm late. There was a queue on the highway","Work Environment","A2"
"Universitetets nye forskningsprojekt fokuserer på bæredygtig energi","The university's new research project focuses on sustainable energy","Academic Discussions","B2"
"Vejret skulle blive bedre i løbet af ugen","The weather should improve during the week","Weather","A2"
"Vejrudsigten lover solskin hele weekenden","The weather forecast promises sunshine all weekend","Weather","A2"
"Velfærdsstaten er en grundpille i det danske samfund","The welfare state is a cornerstone of Danish society","Danish Cultural References","B2"
"Velkommen til Danmark","Welcome to Denmark","Greetings","A1"
"Vent et øjeblik","Wait a moment","Basic Communication","A1"
"Vi burde alle tage mere ansvar for klimaet","We should all take more responsibility for the climate","Environmental Issues","B1"
"Vi bør diskutere dette forslag på næste møde","We should discuss this proposal at the next meeting","Professional Communication","B1"
"Vi bør gennemgå alle aspekter af forslaget, før vi træffer en endelig beslutning","We should review all aspects of the proposal before making a final decision","Advanced Professional Topics","B2"
"Vi bør revidere vores marketingstrategi i lyset af de seneste markedsundersøgelser","We should revise our marketing strategy in light of the latest market research","Advanced Professional Topics","B2"
"Vi bør sortere vores affald mere omhyggeligt","We should sort our waste more carefully","Environmental Issues","B1"
"Vi fejrer altid jul hos mine bedsteforældre","We always celebrate Christmas at my grandparents'","Family","A2"
"Vi fik over 20 centimeter sne i går","We got over 20 centimeters of snow yesterday","Weather","A2"
"Vi får en ny computer næste uge","We are getting a new computer next week","Work Environment","A2"
"Vi har boet i denne lejlighed i fem år","We have lived in this apartment for five years","Past Experiences","A2"
"Vi har brug for at finde en løsning på pladsmanglen på kontoret","We need to find a solution to the lack of space in the office","Complex Problem-Solving","B1"
"Vi har en god bager lige rundt om hjørnet","We have a good bakery just around the corner","Local Community","A2"
"Vi har et problem med reservationen","We have a problem with the reservation","Simple Problem-Solving","A2"
"Vi har et teknisk problem med systemet, som vi skal løse hurtigst muligt","We have a technical problem with the system that we need to solve as soon as possible","Complex Problem-Solving","B1"
"Vi har frokostpause fra tolv til halv et","We have lunch break from twelve to half past twelve","Work Environment","A2"
"Vi har fået en ny kollega","We have got a new colleague","Work Environment","A2"
"Vi har implementeret en ny løsning, der øger systemets hastighed","We have implemented a new solution that increases the system's speed","Technical Discussions","B1"
"Vi har kendt hinanden siden gymnasiet","We have known each other since high school","Social Life","A2"
"Vi har lavet en fejl i din ordre, og vi beklager meget","We've made a mistake with your order, and we apologize greatly","Professional Communication","B1"
"Vi har lejet en feriebolig ved stranden","We have rented a holiday home by the beach","Travel Planning","A2"
"Vi har lige malet vores stue i en lysere farve","We have just painted our living room in a lighter color","Home & Housing","A2"
"Vi har planer om at tage i biografen i aften","We have plans to go to the cinema tonight","Hobbies & Interests","A2"
"Vi har plantet blomster i vores have","We have planted flowers in our garden","Home & Housing","A2"
"Vi holder en lille fest for vores kollega, der går på pension","We're having a small party for our colleague who is retiring","Work Environment","A2"
"Vi kan ikke acceptere disse vilkår, men jeg er åben for at diskutere alternative løsninger","We cannot accept these terms, but I am open to discussing alternative solutions","Negotiation & Persuasion","B2"
"Vi kunne tage en tur til stranden, hvis vejret er godt","We could take a trip to the beach if the weather is good","Making Plans","A2"
"Vi kunne tage på museum i eftermiddag","We could go to a museum this afternoon","Making Plans","A2"
"Vi må gøre det igen snart","We should do it again soon","Courtesy Phrases","A1"
"Vi mødes hver uge for at spille brætspil","We meet every week to play board games","Hobbies & Interests","A2"
"Vi mødte hinanden til en fest sidste år","We met each other at a party last year","Past Experiences","A2"
"Vi mødtes for første gang til en fest","We met for the first time at a party","Past Experiences","A2"
"Vi mødtes første gang til en koncert","We met for the first time at a concert","Past Experiences","A2"
"Vi plejer at mødes på denne café","We usually meet at this café","Social Life","A2"
"Vi ses","See you","Greetings","A1"
"Vi ses foran biografen","See you in front of the cinema","Making Plans","A2"
"Vi ses i morgen","See you tomorrow","Courtesy Phrases","A1"
"Vi ses klokken tolv","See you at twelve o'clock","Numbers/Time","A1"
"Vi ses senere","See you later","Greetings","A1"
"Vi skal fejre fødselsdag","We are going to celebrate a birthday","Celebrations","A1"
"Vi skal fejre min fødselsdag i næste weekend","We are celebrating my birthday next weekend","Social Life","A2"
"Vi skal have et møde klokken to","We need to have a meeting at two o'clock","Work Environment","A2"
"Vi skal have et møde med den nye projektleder","We need to have a meeting with the new project manager","Work Environment","A2"
"Vi skal have installeret et nyt køkken næste måned","We are having a new kitchen installed next month","Home & Housing","A2"
"Vi skal holde min fars 60-års fødselsdag","We are going to celebrate my father's 60th birthday","Family","A2"
"Vi skal rejse i påskeferien","We are traveling during Easter vacation","Travel Planning","A2"
"Vi skal rejse med nattoget til Berlin","We're traveling by night train to Berlin","Travel Planning","A2"
"Vi skal se en ny udstilling på kunstmuseet","We are going to see a new exhibition at the art museum","Cultural Activities","A2"
"Vi skal se et teaterstykke på lørdag aften","We are going to see a play on Saturday evening","Cultural Activities","A2"
"Vi skal skifte bus ved næste stoppested","We need to change buses at the next stop","Transportation","A2"
"Vi skal til koncert på fredag aften","We're going to a concert on Friday evening","Cultural Activities","A2"
"Vi skal tjekke ind to timer før afgang","We need to check in two hours before departure","Travel Planning","A2"
"Vi snakkes ved","Talk to you later","Greetings","A1"
"Vi spiller ofte brætspil om søndagen","We often play board games on Sundays","Hobbies & Interests","A2"
"Vil du anbefale en dessert?","Would you recommend a dessert?","Restaurant/Café","A1"
"Vil du med ud at spise på lørdag?","Would you like to go out for dinner on Saturday?","Making Plans","A2"
"Vinteren har været mildere end normalt i år","Winter has been milder than normal this year","Weather","A2"
"Virker garantien stadig?","Is the warranty still valid?","Basic Shopping","A1"
"Vores busafgang blev forsinket på grund af vejret","Our bus departure was delayed because of the weather","Transportation","A2"
"Vores hotel ligger tæt på centrum","Our hotel is located close to the center","Travel Planning","A2"
"Vores kommune arrangerer en sommerfestival","Our municipality organizes a summer festival","Local Community","A2"
"Vores lærer er meget hjælpsom","Our teacher is very helpful","Education","A2"
"Vores nabo er meget venlig","Our neighbor is very friendly","Home & Housing","A2"
"Vores nabo spiller høj musik om natten","Our neighbor plays loud music at night","Home & Housing","A2"
"Vores opgang er blevet malet for nylig","Our stairwell has been painted recently","Home & Housing","A2"
"Vores team har nået alle målene for denne måned","Our team has reached all the goals for this month","Work Environment","A2"
"Vores udlejer har lovet at reparere opvaskemaskinen","Our landlord has promised to repair the dishwasher","Home & Housing","A2"
"Vær så venlig","Please (be so kind)","Courtesy Phrases","A1"
"Værelset er beskidt","The room is dirty","Accommodation","A1"
"Værsgo","Here you go/You're welcome","Courtesy Phrases","A1"
"danishPhrase","englishTranslation","situationalContext","languageLevel"
